model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
Qwen/Qwen2.5-Math-1.5B (few-shot),4.5,1543714304.0,151936.0,4096,2371.7,📝,✓,✗,7.25 ± 2.47 / 17.79 ± 4.60@@7.249721954673424,26.30 ± 1.79 / 21.10 ± 2.42@@26.303808347523212,23.59 ± 1.75 / 18.89 ± 2.02@@23.589678285390818,0.19 ± 2.04 / 43.83 ± 4.54@@0.1909653627155397,4.63 ± 1.62 / 47.77 ± 2.91@@4.627587757428859,8.65 ± 1.45 / 0.02 ± 0.02@@8.650051134044293,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.53,361821120.0,49152.0,8192,21776.98,📝,✓,✗,7.60 ± 2.24 / 26.47 ± 2.89@@7.596555851784677,20.37 ± 5.55 / 21.57 ± 3.57@@20.371086261874197,21.27 ± 5.10 / 22.34 ± 4.41@@21.273270462652867,1.31 ± 1.92 / 45.75 ± 3.36@@1.307208581774104,0.51 ± 1.81 / 38.71 ± 2.95@@0.5139688500832497,10.53 ± 2.12 / 4.80 ± 1.18@@10.534873652247004,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
HuggingFaceTB/SmolLM2-360M (few-shot),4.54,361821120.0,49152.0,8192,22023.39,🧠,✓,✗,6.21 ± 2.55 / 23.74 ± 3.28@@6.21111723824138,26.60 ± 1.99 / 23.60 ± 2.05@@26.598315077448298,23.70 ± 1.58 / 23.04 ± 2.17@@23.702499980791895,-0.39 ± 0.76 / 33.40 ± 0.31@@-0.38904548072842643,0.21 ± 0.41 / 35.33 ± 3.02@@0.21173173399076625,10.23 ± 1.68 / 4.65 ± 1.00@@10.233427783391452,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
HuggingFaceTB/SmolLM2-135M (few-shot),4.55,134515008.0,49152.0,8192,26346.08,🧠,✓,✗,8.84 ± 4.19 / 29.74 ± 3.45@@8.841143250165878,24.37 ± 2.17 / 26.91 ± 2.28@@24.373082114309344,24.69 ± 1.85 / 27.60 ± 2.48@@24.694513564647437,-1.20 ± 1.10 / 36.09 ± 3.06@@-1.20208217920426,-0.50 ± 1.21 / 36.68 ± 3.16@@-0.5037743063305812,2.31 ± 0.44 / 0.16 ± 0.13@@2.3070473498488524,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
PleIAs/Pleias-350m-Preview (few-shot),4.59,353424384.0,65536.0,2048,10241.69,🧠,✓,✗,7.91 ± 2.20 / 17.44 ± 3.42@@7.909051421042354,26.59 ± 2.14 / 26.61 ± 2.49@@26.587435576722278,26.78 ± 1.46 / 26.94 ± 1.92@@26.78355556572815,0.28 ± 1.08 / 36.00 ± 3.05@@0.2808515409686877,0.04 ± 1.65 / 41.17 ± 5.30@@0.038177397620106183,3.29 ± 1.17 / 0.82 ± 0.47@@3.2931833676966837,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300
NorwAI/NorwAI-Mistral-7B-pretrain (few-shot),4.6,7536586752.0,67993.0,4065,3023.95,🧠,✓,✗,8.70 ± 4.43 / 25.39 ± 3.30@@8.700883590316552,12.77 ± 3.48 / 14.13 ± 3.09@@12.769708835724236,10.51 ± 3.44 / 9.95 ± 3.51@@10.50769883167832,0.00 ± 1.60 / 38.54 ± 3.41@@0.0033363463981308378,0.82 ± 1.39 / 37.77 ± 4.45@@0.816012194123367,10.19 ± 1.99 / 1.85 ± 0.82@@10.18887080845929,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
fresh-electra-small,4.6,13548800.0,30522.0,512,7840.02,🔍,✓,✗,15.29 ± 5.37 / 34.15 ± 4.23@@15.288256454619994,18.38 ± 2.01 / 17.08 ± 1.97@@18.375380211791146,12.76 ± 1.29 / 11.65 ± 1.21@@12.75817796499687,0.17 ± 0.84 / 36.29 ± 2.91@@0.16877247002290546,0.37 ± 0.69 / 35.08 ± 2.81@@0.37408723396289734,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
PleIAs/Pleias-Pico (few-shot),4.61,353424384.0,65536.0,2048,2330.93,🧠,✓,✗,8.05 ± 2.35 / 22.59 ± 2.42@@8.051372149991957,25.02 ± 2.09 / 25.54 ± 2.29@@25.015247748426884,21.59 ± 3.84 / 21.51 ± 4.17@@21.587083810908638,-0.15 ± 1.40 / 36.65 ± 4.39@@-0.15083558118934273,-0.97 ± 1.78 / 39.00 ± 3.45@@-0.9721079366841041,2.70 ± 0.95 / 0.53 ± 0.39@@2.6976359966259524,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300
RJuro/kanelsnegl-v0.1 (few-shot),4.7,7241732096.0,32000.0,510,5847.39,📝,✓,✗,0.95 ± 0.80 / 9.68 ± 0.28@@0.949646799749944,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,33.45 ± 0.27 / 0.00 ± 0.00@@33.44814580846958,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.1@@120501
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.71,134515008.0,49152.0,8192,25602.11,📝,✓,✗,2.78 ± 4.25 / 26.17 ± 3.37@@2.7810430545874416,20.89 ± 2.55 / 22.28 ± 2.32@@20.89077505791889,19.62 ± 1.91 / 21.82 ± 2.35@@19.62342228130592,-0.98 ± 1.80 / 40.63 ± 4.03@@-0.9846919224848288,0.93 ± 2.26 / 40.91 ± 4.95@@0.9338935364621843,2.19 ± 0.57 / 0.15 ± 0.13@@2.1898041806333337,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
RJuro/kanelsnegl-v0.2 (few-shot),4.72,7241732096.0,32000.0,512,1373.32,📝,✓,✗,1.27 ± 1.21 / 9.77 ± 0.51@@1.2681658548753463,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,32.25 ± 0.29 / 0.00 ± 0.00@@32.25358911773926,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
AI-Sweden-Models/gpt-sw3-126m (few-shot),4.74,186112512.0,64000.0,2048,8957.78,🧠,✓,✗,7.78 ± 3.76 / 21.70 ± 5.02@@7.780067187905569,13.55 ± 6.73 / 15.90 ± 5.66@@13.54501489124271,9.38 ± 4.88 / 11.18 ± 4.52@@9.375361218285006,-1.46 ± 1.07 / 43.30 ± 2.30@@-1.4582449145005898,-2.97 ± 1.29 / 44.41 ± 3.18@@-2.965415443733966,6.65 ± 1.90 / 2.32 ± 0.68@@6.647605333707173,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.5.1@@120501
infly/OpenCoder-1.5B-Base (few-shot),4.75,1905650960.0,96640.0,4096,7718.23,🧠,✓,✗,0.51 ± 1.98 / 18.25 ± 3.93@@0.5067637576354579,21.94 ± 10.53 / 19.83 ± 7.58@@21.942789330981654,14.45 ± 5.60 / 14.19 ± 5.37@@14.447302924008074,1.26 ± 1.43 / 37.51 ± 4.66@@1.2636046164216874,1.84 ± 1.59 / 37.95 ± 3.83@@1.8372793350108638,1.16 ± 0.19 / 0.00 ± 0.00@@1.15553960447121,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000
NorGLM/NorGPT-369M (few-shot),4.9,,64000.0,1024,19895.92,🧠,✓,✗,3.41 ± 2.11 / 14.87 ± 2.38@@3.410078717940157,3.14 ± 2.12 / 2.91 ± 2.02@@3.143719978869018,3.00 ± 1.58 / 2.65 ± 1.41@@2.9959570986274713,0.22 ± 0.42 / 33.42 ± 0.29@@0.21632618787903388,0.27 ± 0.79 / 38.20 ± 3.48@@0.2691477648776779,2.27 ± 0.89 / 0.00 ± 0.00@@2.268170746509957,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
ai-forever/mGPT (few-shot),4.96,,100000.0,2046,11734.33,🧠,✓,✗,4.76 ± 1.84 / 16.95 ± 5.07@@4.760455738328133,0.08 ± 0.16 / 0.07 ± 0.14@@0.08084074373484237,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.67 ± 1.94 / 40.42 ± 4.43@@0.6677466664735452,-0.88 ± 1.89 / 40.70 ± 4.30@@-0.8783004904139746,0.74 ± 0.05 / 0.00 ± 0.00@@0.7384715275377074,10.0.1@@100001,9.3.1@@90301,9.3.1@@90301,11.0.0@@110000,11.0.0@@110000,12.5.1@@120501
Sigurdur/qa-icebreaker (few-shot),5.03,110418432.0,32000.0,1024,44888.92,🧠,✗,✗,1.00 ± 1.27 / 13.84 ± 2.10@@0.9964639956243027,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,0.53 ± 0.06 / 0.00 ± 0.00@@0.5321373716415672,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
peter-sk/gpt-neox-da (few-shot),5.04,1515312640.0,50304.0,1024,6025.33,🧠,✓,✗,-1.43 ± 1.45 / 20.90 ± 4.96@@-1.4336098115148572,0.29 ± 0.29 / 0.29 ± 0.27@@0.2911637575656187,0.25 ± 0.17 / 0.27 ± 0.21@@0.25433859962488536,-0.42 ± 1.10 / 35.77 ± 3.09@@-0.4157084364458609,1.11 ± 2.21 / 39.28 ± 4.12@@1.107584306886295,3.15 ± 0.55 / 0.00 ± 0.00@@3.1495763356708957,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
ssmits/Falcon2-5.5B-multilingual (few-shot),5.05,5465415680.0,65024.0,8192,7691.9,🧠,✓,✓,0.00 ± 0.00 / 9.59 ± 0.29@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,0.09 ± 0.03 / 0.00 ± 0.00@@0.09478370406347925,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
Sigurdur/icebreaker (few-shot),5.05,110418432.0,32000.0,1024,48618.98,🧠,✗,✗,0.00 ± 0.00 / 9.59 ± 0.29@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,0.47 ± 0.03 / 0.00 ± 0.00@@0.4679794782661645,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
