model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B (few-shot)</a>,📝,4.47@@4.47,1543714304.0,151936.0,4096.0,✓,✗,0.00 ± 0.00 / 17.78 ± 0.21@@0.0,18.11 ± 1.96 / 13.32 ± 1.24@@18.105436370945643,-0.31 ± 0.60 / 33.49 ± 0.27@@-0.30810588415767115,9.28 ± 0.66 / 0.00 ± 0.00@@9.276666996922938,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/openai-community/gpt2-medium'>openai-community/gpt2-medium (few-shot)</a>,🧠,4.47@@4.47,379988992.0,50257.0,1024.0,✓,✗,2.29 ± 2.64 / 20.47 ± 3.44@@2.2867017126997236,7.64 ± 1.90 / 8.70 ± 1.52@@7.643284523229784,-0.88 ± 1.17 / 36.89 ± 2.41@@-0.8811874653251084,13.41 ± 2.39 / 11.81 ± 2.29@@13.41036239658408,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/RJuro/kanelsnegl-v0.1'>RJuro/kanelsnegl-v0.1 (few-shot)</a>,📝,4.48@@4.48,7241732096.0,32000.0,512.0,✓,✗,13.00 ± 4.17 / 24.41 ± 3.12@@13.004298464414813,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.23@@0.0,12.39 ± 1.52 / 0.00 ± 0.00@@12.391429928480209,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.1@@120501
<a href='https://huggingface.co/marksverdhei/modern-norbert3-base'>marksverdhei/modern-norbert3-base</a>,🔍,4.49@@4.49,123994448.0,50000.0,512.0,✓,✗,15.01 ± 2.25 / 36.80 ± 2.33@@15.0130310674912,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,1.52 ± 1.39 / 45.84 ± 3.19@@1.51609620044036,4.03 ± 0.83 / 0.40 ± 0.13@@4.028329620302284,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/openai-community/gpt2-large'>openai-community/gpt2-large (few-shot)</a>,🧠,4.49@@4.49,811778816.0,50257.0,1024.0,✓,✗,1.44 ± 2.92 / 20.92 ± 3.43@@1.4436721176840768,8.78 ± 1.99 / 10.31 ± 1.39@@8.777722765690973,0.58 ± 1.48 / 36.39 ± 3.90@@0.5803153239872755,14.78 ± 3.21 / 13.18 ± 3.11@@14.77541398083579,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct (few-shot)</a>,📝,4.53@@4.53,134515008.0,49152.0,8192.0,✓,✗,1.71 ± 1.65 / 19.11 ± 0.98@@1.7100913688195982,10.50 ± 0.78 / 10.79 ± 0.52@@10.500522311634597,1.10 ± 1.03 / 36.85 ± 3.80@@1.1017116955860413,9.92 ± 2.99 / 6.68 ± 2.69@@9.921713836238848,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base (few-shot)</a>,📝,4.53@@4.53,1905650960.0,96640.0,4096.0,✓,✗,2.78 ± 1.79 / 23.93 ± 4.34@@2.783427410463161,5.77 ± 3.79 / 5.04 ± 3.26@@5.765064337951069,-0.13 ± 1.85 / 41.31 ± 4.03@@-0.1288942616001202,10.14 ± 1.86 / 1.76 ± 1.17@@10.14258395815117,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/marksverdhei/modern-norbert3-xs'>marksverdhei/modern-norbert3-xs</a>,🔍,4.55@@4.55,15000272.0,50000.0,512.0,✓,✗,15.31 ± 2.06 / 41.21 ± 1.24@@15.306285733716157,1.17 ± 0.39 / 1.23 ± 0.44@@1.1706084528715996,0.00 ± 2.16 / 49.53 ± 1.27@@0.002500789769371613,1.32 ± 0.30 / 0.23 ± 0.11@@1.318595543875156,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/openai-community/gpt2'>openai-community/gpt2 (few-shot)</a>,🧠,4.57@@4.57,137022720.0,50257.0,1024.0,✓,✗,3.67 ± 1.96 / 21.95 ± 2.66@@3.674546089998554,7.67 ± 1.48 / 8.42 ± 1.00@@7.673732201918486,-0.63 ± 1.56 / 37.65 ± 3.32@@-0.6256737373846183,7.80 ± 2.30 / 6.58 ± 2.14@@7.799325556094262,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/mideind/IceBERT-mC4-is'>mideind/IceBERT-mC4-is</a>,🔍,4.66@@4.66,162944162.0,50000.0,514.0,✓,✗,7.51 ± 6.01 / 24.57 ± 5.37@@7.510435150741815,0.04 ± 0.07 / 0.03 ± 0.06@@0.03795066413662239,0.12 ± 0.24 / 33.30 ± 0.28@@0.12095716545456267,2.95 ± 1.76 / 0.89 ± 0.71@@2.9456968413834557,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.9.0.dev0@@150900
<a href='https://huggingface.co/marksverdhei/modern-norbert3-small'>marksverdhei/modern-norbert3-small</a>,🔍,4.67@@4.67,40641104.0,50000.0,512.0,✓,✗,9.61 ± 2.55 / 32.41 ± 2.70@@9.610926342761882,0.02 ± 0.03 / 0.03 ± 0.04@@0.017574692442882248,-0.57 ± 1.87 / 47.04 ± 1.59@@-0.571903202455065,2.98 ± 0.32 / 0.29 ± 0.11@@2.9849325016335237,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/ltg/norbert'>ltg/norbert</a>,🔍,4.68@@4.68,111952540.0,32922.0,512.0,✓,✗,0.15 ± 3.03 / 22.92 ± 3.68@@0.1549174764569263,1.80 ± 0.41 / 1.88 ± 0.39@@1.7983442203705367,0.61 ± 1.86 / 40.41 ± 4.11@@0.6072380354028952,3.43 ± 0.60 / 0.09 ± 0.06@@3.432942848931288,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NorGLM/NorGPT-369M'>NorGLM/NorGPT-369M (few-shot)</a>,🧠,4.69@@4.69,,64000.0,1024.0,✓,✗,2.06 ± 2.30 / 20.38 ± 2.71@@2.0649381514022203,1.13 ± 1.19 / 0.97 ± 1.03@@1.12505773973119,-0.36 ± 0.97 / 41.52 ± 4.00@@-0.3604909182368881,4.20 ± 0.61 / 0.32 ± 0.12@@4.202063933057338,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/ai-forever/mGPT'>ai-forever/mGPT (few-shot)</a>,🧠,4.73@@4.73,,100000.0,1024.0,✓,✗,2.61 ± 2.75 / 20.51 ± 2.48@@2.6084624247603183,0.65 ± 0.68 / 0.59 ± 0.63@@0.648821052660044,-0.73 ± 1.72 / 41.15 ± 3.71@@-0.7251190031194412,2.68 ± 1.87 / 1.99 ± 1.69@@2.683373635947206,10.0.1@@100001,9.3.1@@90301,11.0.0@@110000,12.5.1@@120501
<a href='https://huggingface.co/ssmits/Falcon2-5.5B-multilingual'>ssmits/Falcon2-5.5B-multilingual (few-shot)</a>,🧠,4.84@@4.84,5465415680.0,65024.0,8192.0,✓,✓,0.00 ± 0.00 / 18.12 ± 0.19@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.23@@0.0,0.03 ± 0.03 / 0.02 ± 0.02@@0.026536133761079623,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/Sigurdur/icebreaker'>Sigurdur/icebreaker (few-shot)</a>,🧠,4.84@@4.84,110418432.0,32000.0,1024.0,✗,✗,0.00 ± 0.00 / 18.12 ± 0.19@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.23@@0.0,0.04 ± 0.01 / 0.00 ± 0.00@@0.04025303058364268,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://huggingface.co/Sigurdur/qa-icebreaker'>Sigurdur/qa-icebreaker (few-shot)</a>,🧠,4.84@@4.84,110418432.0,32000.0,1024.0,✗,✗,0.07 ± 0.70 / 27.86 ± 0.36@@0.07176985285786364,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.23@@0.0,0.08 ± 0.02 / 0.00 ± 0.00@@0.08447812406168635,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://huggingface.co/RJuro/munin-neuralbeagle-7b'>RJuro/munin-neuralbeagle-7b (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/KennethEnevoldsen/munin_mistral-7b'>KennethEnevoldsen/munin_mistral-7b (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b'>RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot)</a>,📝,-@@100,7241748480.0,32002.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/thenlper/gte-large'>thenlper/gte-large</a>,🔍,-@@100,335143938.0,30522.0,512.0,✓,✗,28.22 ± 2.92 / 48.64 ± 4.09@@28.215543324313252,-@@-1,1.41 ± 2.05 / 46.26 ± 3.31@@1.4134715347578108,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/KennethTM/gpt2-small-danish'>KennethTM/gpt2-small-danish</a>,🧠,-@@100,39422208.0,50257.0,1024.0,✓,✗,3.38 ± 2.04 / 24.41 ± 3.27@@3.3848148029363028,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/timpal0l/BeagleCatMunin2'>timpal0l/BeagleCatMunin2 (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Qwen/Qwen1.5-7B-Chat'>Qwen/Qwen1.5-7B-Chat (few-shot)</a>,📝,-@@100,7721324544.0,151936.0,32768.0,✗,✗,31.65 ± 4.03 / 51.95 ± 2.76@@31.645447003923383,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0
<a href='https://huggingface.co/NbAiLab/nb-gpt-j-6B'>NbAiLab/nb-gpt-j-6B (few-shot)</a>,🧠,-@@100,6055077088.0,50400.0,2048.0,✓,✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/stabilityai/stablelm-zephyr-3b'>stabilityai/stablelm-zephyr-3b (few-shot)</a>,📝,-@@100,2795443200.0,50304.0,2048.0,✗,✗,1.22 ± 3.01 / 22.90 ± 1.74@@1.2219998957439946,-@@-1,-@@-1,-@@-1,9.3.2@@90302,-@@0,-@@0,-@@0
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-scandinavian'>NbAiLab/nb-roberta-base-scandinavian</a>,🔍,-@@100,124647170.0,50265.0,512.0,✓,✗,40.71 ± 1.48 / 59.29 ± 1.86@@40.71276915518645,-@@-1,52.05 ± 9.20 / 74.77 ± 4.76@@52.0460544006473,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/susnato/ernie-m-base_pytorch'>susnato/ernie-m-base_pytorch</a>,🔍,-@@100,278044418.0,250002.0,512.0,✓,✗,46.19 ± 0.95 / 64.19 ± 0.82@@46.19193506069404,-@@-1,58.29 ± 3.08 / 77.89 ± 1.96@@58.291320660218084,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/susnato/ernie-m-large_pytorch'>susnato/ernie-m-large_pytorch</a>,🔍,-@@100,559891458.0,250002.0,512.0,✓,✗,49.98 ± 2.12 / 66.34 ± 1.87@@49.97821945946641,-@@-1,61.12 ± 10.96 / 79.05 ± 6.05@@61.119480025445064,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/01-ai/Yi-34B-Chat'>01-ai/Yi-34B-Chat (few-shot)</a>,📝,-@@100,34388917248.0,64000.0,4096.0,✓,✗,53.09 ± 2.09 / 67.64 ± 2.28@@53.09073972075027,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0
<a href='https://huggingface.co/KBLab/electra-small-swedish-cased-discriminator'>KBLab/electra-small-swedish-cased-discriminator</a>,🔍,-@@100,16084098.0,50325.0,512.0,✓,✗,21.48 ± 1.76 / 39.08 ± 2.35@@21.480013606526864,-@@-1,26.99 ± 2.37 / 62.28 ± 0.96@@26.991412371335148,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/timpal0l/dolphin-2.9-llama3-8b-flashback'>timpal0l/dolphin-2.9-llama3-8b-flashback (few-shot)</a>,🧠,-@@100,8030261248.0,128256.0,8192.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/thenlper/gte-base'>thenlper/gte-base</a>,🔍,-@@100,109483778.0,30522.0,512.0,✓,✗,27.50 ± 2.17 / 47.23 ± 3.71@@27.49954820431157,-@@-1,2.66 ± 1.84 / 47.50 ± 2.84@@2.656466626111629,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/timpal0l/BeagleCatMunin'>timpal0l/BeagleCatMunin (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7'>MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7</a>,🔍,-@@100,278810882.0,251000.0,512.0,✓,✗,37.70 ± 2.33 / 57.76 ± 1.94@@37.69774007024568,-@@-1,51.68 ± 5.63 / 74.01 ± 3.51@@51.67911619933893,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/01-ai/Yi-34B'>01-ai/Yi-34B (few-shot)</a>,🧠,-@@100,34388917248.0,64000.0,4096.0,✓,✗,54.82 ± 1.13 / 69.70 ± 0.91@@54.81964278854716,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0
<a href='https://huggingface.co/ltg/bnc-bert-subword'>ltg/bnc-bert-subword</a>,🔍,-@@100,79739906.0,16385.0,512.0,✓,✗,16.53 ± 1.78 / 38.38 ± 2.03@@16.533275025786338,14.01 ± 2.62 / 13.09 ± 2.46@@14.007001653830697,0.83 ± 1.31 / 46.70 ± 3.32@@0.8278096597805512,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0
<a href='https://huggingface.co/pere/roberta-debug-32'>pere/roberta-debug-32</a>,🔍,-@@100,277455362.0,250002.0,514.0,✓,✗,-@@-1,-@@-1,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@0,-@@0,-@@0,14.4.0@@140400
<a href='https://huggingface.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,310266624.0,128256.0,8192.0,✓,✗,23.47 ± 1.45 / 45.41 ± 2.17@@23.468424142794657,26.44 ± 3.62 / 25.95 ± 2.77@@26.441617022159026,0.27 ± 0.94 / 45.65 ± 2.57@@0.27134028344239697,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0
<a href='https://huggingface.co/google/canine-c'>google/canine-c</a>,🔍,-@@100,132084482.0,1114112.0,2048.0,✓,✗,18.66 ± 1.91 / 37.05 ± 0.91@@18.658564863462956,26.50 ± 2.01 / 25.53 ± 2.24@@26.50434636617446,0.08 ± 1.65 / 45.09 ± 3.75@@0.08286152031845836,-@@-1,<9.2.0@@0,12.7.0@@120700,<9.2.0@@0,-@@0
<a href='https://huggingface.co/google/canine-s'>google/canine-s</a>,🔍,-@@100,132084482.0,1114112.0,2048.0,✓,✗,17.96 ± 1.62 / 37.45 ± 2.13@@17.95751395443068,-@@-1,1.92 ± 2.20 / 49.39 ± 2.11@@1.915089455116302,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/DeepPavlov/rubert-base-cased'>DeepPavlov/rubert-base-cased</a>,🔍,-@@100,177854978.0,119547.0,512.0,✓,✗,26.41 ± 1.45 / 49.24 ± 1.23@@26.41082081506922,-@@-1,3.84 ± 2.52 / 43.36 ± 4.13@@3.840807692775241,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4'>gpt-4-0613 (zero-shot, val)</a>",📝,-@@100,,100256.0,8191.0,✓,✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
"<a href='https://huggingface.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (few-shot, val)</a>",🧠,-@@100,2253490176.0,256000.0,8192.0,✓,✗,15.68 ± 5.90 / 26.14 ± 5.62@@15.684410142538624,-@@-1,-@@-1,-@@-1,15.8.1.dev0@@150801,-@@0,-@@0,-@@0
<a href='https://huggingface.co/BAAI/bge-small-en'>BAAI/bge-small-en</a>,🔍,-@@100,33360770.0,30522.0,512.0,✓,✗,30.57 ± 1.75 / 52.42 ± 1.65@@30.568728198581557,-@@-1,2.04 ± 1.32 / 48.36 ± 2.78@@2.0445374371864897,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/BAAI/bge-large-en'>BAAI/bge-large-en</a>,🔍,-@@100,335143938.0,30522.0,512.0,✓,✗,28.73 ± 2.73 / 48.91 ± 3.71@@28.731762557790137,-@@-1,3.81 ± 1.98 / 46.36 ± 3.00@@3.814761855116924,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/BAAI/bge-base-en'>BAAI/bge-base-en</a>,🔍,-@@100,109483778.0,30522.0,512.0,✓,✗,29.98 ± 2.75 / 50.27 ± 4.20@@29.98248307269,-@@-1,2.94 ± 1.46 / 47.32 ± 2.64@@2.9438794998343307,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/AI-Sweden-Models/tyr'>AI-Sweden-Models/tyr (few-shot)</a>,📝,-@@100,7241732096.0,32000.0,4096.0,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct (few-shot)</a>,📝,-@@100,20066993152.0,49152.0,8192.0,✓,✗,27.42 ± 1.09 / 42.53 ± 0.89@@27.423968418302042,-@@-1,8.58 ± 1.83 / 45.64 ± 4.08@@8.5758142189474,-@@-1,15.7.0.dev0@@150700,-@@0,15.7.0.dev0@@150700,-@@0
<a href='https://huggingface.co/intfloat/e5-base-v2'>intfloat/e5-base-v2</a>,🔍,-@@100,109483778.0,30522.0,512.0,✓,✗,32.51 ± 1.61 / 53.48 ± 1.34@@32.5066798017304,-@@-1,2.76 ± 1.99 / 46.13 ± 1.83@@2.7573711178060263,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,755625600.0,128256.0,8192.0,✓,✗,20.01 ± 5.47 / 41.81 ± 5.83@@20.01204040410311,21.34 ± 4.30 / 19.43 ± 4.80@@21.339761245559586,0.58 ± 1.65 / 40.12 ± 4.75@@0.5777056831305315,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0
<a href='https://huggingface.co/merge-crew/da-sv-ties'>merge-crew/da-sv-ties (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/jekunz/modernbert-fineweb-is'>jekunz/modernbert-fineweb-is</a>,🔍,-@@100,149655232.0,50368.0,8192.0,✓,✗,22.11 ± 1.47 / 44.08 ± 1.09@@22.106840667515417,21.58 ± 2.26 / 20.79 ± 2.27@@21.58231804368594,0.81 ± 1.62 / 48.03 ± 1.92@@0.814749441486071,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0
<a href='https://huggingface.co/merge-crew/da-sv-slerp'>merge-crew/da-sv-slerp (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/jjzha/dajobbert-base-cased'>jjzha/dajobbert-base-cased</a>,🔍,-@@100,110425346.0,31748.0,512.0,✓,✗,39.18 ± 1.11 / 59.11 ± 0.83@@39.18457722683509,-@@-1,40.38 ± 3.85 / 66.54 ± 2.71@@40.37861512193426,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/merge-crew/da-sv-dare-ties-density-0.9'>merge-crew/da-sv-dare-ties-density-0.9 (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/joelito/legal-xlm-roberta-base'>joelito/legal-xlm-roberta-base</a>,🔍,-@@100,184347650.0,128000.0,512.0,✓,✗,36.43 ± 1.10 / 56.80 ± 1.26@@36.426060137173586,-@@-1,44.91 ± 2.68 / 70.74 ± 2.71@@44.90618422154286,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/merge-crew/da-sv-dare-ties-density-0.6'>merge-crew/da-sv-dare-ties-density-0.6 (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/joelito/legal-xlm-roberta-large'>joelito/legal-xlm-roberta-large</a>,🔍,-@@100,434962434.0,128000.0,512.0,✓,✗,35.67 ± 6.45 / 54.23 ± 7.36@@35.66697713735921,-@@-1,10.25 ± 11.58 / 50.79 ± 7.22@@10.246352627489555,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/merge-crew/da-sv-dare-ties-density-0.3'>merge-crew/da-sv-dare-ties-density-0.3 (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/ltg/bnc-bert-span-0.25x'>ltg/bnc-bert-span-0.25x</a>,🔍,-@@100,79739906.0,16385.0,512.0,✓,✗,16.48 ± 1.75 / 38.34 ± 1.99@@16.48443460929199,14.01 ± 2.41 / 13.19 ± 2.27@@14.006883820301269,1.07 ± 1.37 / 46.76 ± 3.28@@1.0670188607470896,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0
<a href='https://huggingface.co/ltg/bnc-bert-span-2x'>ltg/bnc-bert-span-2x</a>,🔍,-@@100,79739906.0,16385.0,512.0,✓,✗,16.50 ± 1.74 / 38.35 ± 2.00@@16.499878487429804,14.96 ± 2.36 / 14.05 ± 2.06@@14.956161870531451,0.87 ± 1.32 / 46.71 ± 3.33@@0.8662124644236217,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0
<a href='https://huggingface.co/ltg/bnc-bert-span-document'>ltg/bnc-bert-span-document</a>,🔍,-@@100,79739906.0,16385.0,512.0,✓,✗,16.44 ± 1.78 / 38.32 ± 2.01@@16.44030664739942,14.06 ± 2.46 / 13.26 ± 2.28@@14.063796080640817,1.09 ± 1.44 / 46.77 ± 3.30@@1.0879220240572913,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0
<a href='https://huggingface.co/ltg/bnc-bert-span-order'>ltg/bnc-bert-span-order</a>,🔍,-@@100,79739906.0,16385.0,512.0,✓,✗,16.52 ± 1.78 / 38.37 ± 2.04@@16.516988520976156,14.82 ± 2.16 / 13.93 ± 1.92@@14.816598826243926,0.69 ± 1.39 / 46.65 ± 3.31@@0.694239837522598,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0
<a href='https://huggingface.co/merge-crew/da-sv-task-arithmetic'>merge-crew/da-sv-task-arithmetic (few-shot)</a>,🧠,-@@100,7241732096.0,32000.0,4096.0,✓,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/FacebookAI/roberta-base'>FacebookAI/roberta-base</a>,🔍,-@@100,124647170.0,50265.0,512.0,✓,✗,29.27 ± 3.00 / 51.00 ± 3.94@@29.26908156951865,-@@-1,1.18 ± 1.48 / 40.35 ± 4.04@@1.183648353007184,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/FacebookAI/xlm-mlm-100-1280'>FacebookAI/xlm-mlm-100-1280</a>,🔍,-@@100,571499522.0,200000.0,512.0,✓,✗,30.69 ± 4.27 / 52.07 ± 3.96@@30.694699933279395,-@@-1,25.09 ± 12.58 / 58.09 ± 8.16@@25.0852059722543,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/FacebookAI/xlm-mlm-17-1280'>FacebookAI/xlm-mlm-17-1280</a>,🔍,-@@100,571499522.0,200000.0,512.0,✓,✗,23.48 ± 3.40 / 44.84 ± 3.52@@23.475502252673785,-@@-1,2.35 ± 2.28 / 46.66 ± 3.09@@2.350386603460601,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/pere/nb-roberta-base-scandinavian-long'>pere/nb-roberta-base-scandinavian-long</a>,🔍,-@@100,124647170.0,50265.0,512.0,✓,✗,40.71 ± 1.48 / 59.29 ± 1.86@@40.71276915518645,-@@-1,52.05 ± 9.20 / 74.77 ± 4.76@@52.0460544006473,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
<a href='https://huggingface.co/pdelobelle/robbert-v2-dutch-base'>pdelobelle/robbert-v2-dutch-base</a>,🔍,-@@100,116763650.0,40000.0,512.0,✓,✗,29.75 ± 1.68 / 52.53 ± 1.20@@29.75426276232177,-@@-1,2.21 ± 1.34 / 48.56 ± 2.17@@2.206616326970699,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0
